episode,reward,td_loss,steps,agent
0,-142758.1578054328,129.19515360767642,720,LinearQ
1,-138421.60577718288,68.86991953841515,720,LinearQ
2,-141419.5073379662,54.64588870174355,720,LinearQ
3,-140055.8847494659,39.63272373672161,720,LinearQ
4,-129544.7658793125,34.07886157681545,720,LinearQ
5,-130816.99849117764,28.941561513383768,720,LinearQ
6,-125927.05678519547,27.965250738503205,720,LinearQ
7,-116596.49784946514,24.170749572747283,720,LinearQ
8,-110448.86075247114,20.276663980508843,720,LinearQ
9,-121151.41352352785,23.314318794922695,720,LinearQ
10,-117304.58651205363,21.46475192254616,720,LinearQ
11,-113069.55771625407,19.413510582016574,720,LinearQ
12,-110612.89677828114,20.309018755538595,720,LinearQ
13,-106022.06675071392,16.79466981254518,720,LinearQ
14,-104156.71345835399,19.847708188954535,720,LinearQ
15,-104970.82305998141,19.667760127658646,720,LinearQ
16,-96367.74722235388,16.502941127287016,720,LinearQ
17,-104869.42198415539,16.94008191211356,720,LinearQ
18,-89899.34913439116,13.974425901803706,720,LinearQ
19,-93886.84439774977,15.702464121580125,720,LinearQ
20,-96516.36658310422,13.380603248129288,720,LinearQ
21,-79219.80541089251,10.998402595188882,720,LinearQ
22,-84665.53438226818,11.852979842159483,720,LinearQ
23,-74189.44933184185,11.077125371578667,720,LinearQ
24,-76635.05020831065,10.12394310782353,720,LinearQ
25,-81543.19213590906,12.529612729946772,720,LinearQ
26,-68957.21881725051,10.35124049782753,720,LinearQ
27,-61915.285846200604,8.122445712486902,720,LinearQ
28,-70402.06070365402,9.33192184070746,720,LinearQ
29,-57836.94049358945,8.769745523399777,720,LinearQ
30,-61451.30651558757,8.948937996890809,720,LinearQ
31,-54261.443872328775,7.917837988668018,720,LinearQ
32,-50863.013251661345,7.548446697658963,720,LinearQ
33,-58957.908904021446,7.630877699454626,720,LinearQ
34,-48883.1004897796,6.389348647329542,720,LinearQ
35,-47009.8824095295,6.817433361874686,720,LinearQ
36,-46802.31909409503,7.59533441927698,720,LinearQ
37,-42182.57504929124,4.918527851833238,720,LinearQ
38,-43912.16783047543,5.71684531238344,720,LinearQ
39,-38029.262991903604,5.074852782156732,720,LinearQ
40,-36464.49973060642,4.853958039482435,720,LinearQ
41,-31749.98061978964,5.0412286731931895,720,LinearQ
42,-24226.575367017125,3.389020823770099,720,LinearQ
43,-23520.024162608504,3.2686303834120434,720,LinearQ
44,-24354.868114365694,3.141474364201228,720,LinearQ
45,-22615.310651864333,2.982921118206448,720,LinearQ
46,-20265.437646910992,2.643410266107983,720,LinearQ
47,-14354.946402827743,2.108618942896525,720,LinearQ
48,-12283.26621185535,1.8464781992965273,720,LinearQ
49,-10300.551384219689,2.9145326866043937,720,LinearQ
50,-11604.09939759127,1.5967359198464288,720,LinearQ
51,-7934.118236803969,1.453406700823042,720,LinearQ
52,-11915.219569642626,1.7365829156504737,720,LinearQ
53,-6921.145809874071,0.7674367295371162,720,LinearQ
54,-11274.948547917616,1.0780447449949053,720,LinearQ
55,-9040.799734301585,0.9321777396731906,720,LinearQ
56,-9592.861878621465,0.9859489487277137,720,LinearQ
57,-8624.637759737818,1.3592706243197124,720,LinearQ
58,-9674.237290329924,0.7375881923569574,720,LinearQ
59,-8969.878040181493,1.3494052767753602,720,LinearQ
60,-7366.250885812893,1.636502002345191,720,LinearQ
61,-6914.589459681014,0.6562105801370409,720,LinearQ
62,-9907.537445703876,0.9962270604239569,720,LinearQ
63,-9395.290723322341,1.936964801285002,720,LinearQ
64,-9042.017268706224,1.1627352601952023,720,LinearQ
65,-6920.485354068402,0.9351377613014645,720,LinearQ
66,-8560.633816521262,0.9495163043340047,720,LinearQ
67,-9641.359670262718,1.251529292265574,720,LinearQ
68,-8316.757163029004,0.7796209964487287,720,LinearQ
69,-8289.082615083305,0.9907805230882433,720,LinearQ
70,-10241.68525613843,1.0009851700729795,720,LinearQ
71,-8713.751049569335,1.4431413637267219,720,LinearQ
72,-9850.983414214536,1.509894632630878,720,LinearQ
73,-10302.424232338286,1.3039402610725828,720,LinearQ
74,-8851.625868678038,1.8132933927906885,720,LinearQ
75,-8583.402296893439,1.3051383627785578,720,LinearQ
76,-10560.115140247102,1.3396763344605764,720,LinearQ
77,-7917.9232167791515,1.2773916330602435,720,LinearQ
78,-8918.682965224883,1.4299403031667073,720,LinearQ
79,-9348.792048331834,0.9312172843350305,720,LinearQ
80,-7609.0804174774175,0.5551676087909274,720,LinearQ
81,-7266.290277563758,0.6190460450119443,720,LinearQ
82,-9588.61553304944,0.9679571668306987,720,LinearQ
83,-8599.9358622164,0.9846009890238444,720,LinearQ
84,-8953.827775255193,1.2032540573014154,720,LinearQ
85,-8283.7644292043,0.8254913601610395,720,LinearQ
86,-8901.66714781179,1.431598029534022,720,LinearQ
87,-7933.1520258771525,0.6053663717375861,720,LinearQ
88,-10676.807757233244,1.2045850263701545,720,LinearQ
89,-9304.774356279335,0.9386187030209435,720,LinearQ
90,-8754.51012915282,0.740359115600586,720,LinearQ
91,-6967.507248907818,0.5490401917033725,720,LinearQ
92,-6632.243713986434,0.7731655173831515,720,LinearQ
93,-7598.593523711019,0.616503769159317,720,LinearQ
94,-9955.509834254966,1.1657251437505087,720,LinearQ
95,-11317.581598567516,1.547597317563163,720,LinearQ
96,-8662.727845603456,0.9849756287203895,720,LinearQ
97,-7927.979160670742,0.6993341684341431,720,LinearQ
98,-7255.571570016158,0.5762500213252173,720,LinearQ
99,-10017.850544521076,0.9647830049196879,720,LinearQ
0,-143103.93178570436,1015877382355.8259,720,DQN
1,-139724.27241665788,24820783.919444446,720,DQN
2,-144735.42576716296,20358368.52361111,720,DQN
3,-144318.91277836214,17012639.268055554,720,DQN
4,-136886.89716394982,14127812.277430555,720,DQN
5,-140044.40675786915,11675212.559375,720,DQN
6,-138729.1574387355,9616761.877083333,720,DQN
7,-128643.808647732,7812307.333680555,720,DQN
8,-129469.5919423309,6265722.895138889,720,DQN
9,-134034.33567448356,5139256.416145833,720,DQN
10,-136040.48450046123,4161176.7260416667,720,DQN
11,-133561.2847819452,3312625.756293403,720,DQN
12,-132678.4891315368,2733329.8585069445,720,DQN
13,-129276.5275633343,2198304.987890625,720,DQN
14,-130614.69128792289,1759703.6416015625,720,DQN
15,-130630.2161094027,1421377.1734375,720,DQN
16,-123010.33161143001,1162471.6706814235,720,DQN
17,-130596.36542600063,940750.8489908854,720,DQN
18,-123535.5660020523,734706.7116753472,720,DQN
19,-128598.07443138104,581935.3593967014,720,DQN
20,-132936.73513454452,487855.1153266059,720,DQN
21,-117371.9576914106,380627.0299045139,720,DQN
22,-85687.28373724513,315673.0479356554,720,DQN
23,-78542.0282647733,271499.5494628906,720,DQN
24,-78952.09320933706,215779.16280381943,720,DQN
25,-82868.27142414077,199549.7927883572,720,DQN
26,-73492.05695520353,160539.10441080728,720,DQN
27,-62560.41204747591,133994.0150390625,720,DQN
28,-71588.01660070408,112641.01909722222,720,DQN
29,-59195.68544943024,100282.25660264757,720,DQN
30,-62419.08002146698,86445.81113823784,720,DQN
31,-55519.69834774747,82582.61885036892,720,DQN
32,-52310.25244845969,71580.60081922743,720,DQN
33,-64365.25886378898,64996.32841796875,720,DQN
34,-108982.51627784563,59584.971563042534,720,DQN
35,-49592.45065319793,57235.93439263238,720,DQN
36,-111431.0267180184,54469.707043457034,720,DQN
37,-46288.10805441064,58423.69859076606,720,DQN
38,-46431.52793213536,54628.67111545139,720,DQN
39,-39860.47258183147,50722.12980278863,720,DQN
40,-85691.03158106058,46099.23072645399,720,DQN
41,-35339.18094264637,45157.12060546875,720,DQN
42,-48804.23748422351,43164.21378580729,720,DQN
43,-78816.87216595568,43917.67361857097,720,DQN
44,-87185.24470206918,41307.378615993926,720,DQN
45,-26138.729362921815,41706.429939778645,720,DQN
46,-23206.812723330408,38321.637217881944,720,DQN
47,-162212.71856638178,40514.868842230906,720,DQN
48,-101688.95885811413,46901.43242323134,720,DQN
49,-164011.04902492667,56213.45546875,720,DQN
50,-55055.69639034489,64404.49204101563,720,DQN
51,-10451.880365796887,55686.95118001302,720,DQN
52,-14408.9591031656,45646.387171766495,720,DQN
53,-135387.2360936442,45550.33324652778,720,DQN
54,-54071.765443430435,50174.554915364584,720,DQN
55,-37290.22616611197,41604.75417073568,720,DQN
56,-145049.82311275427,42241.831740993926,720,DQN
57,-11448.047988782435,37411.58977186415,720,DQN
58,-96363.90751676844,36418.718992784285,720,DQN
59,-134216.8298235345,44549.08347846137,720,DQN
60,-22021.129697381937,49095.60157063802,720,DQN
61,-9487.124712381574,40005.43032633464,720,DQN
62,-12404.979539810618,36752.1879828559,720,DQN
63,-11748.96792089867,28251.809171549477,720,DQN
64,-80677.03761526303,28540.88446858724,720,DQN
65,-9012.390834330648,28121.18968166775,720,DQN
66,-11000.635922541818,19492.740832180447,720,DQN
67,-137077.6681509004,17629.486354912653,720,DQN
68,-91140.06998121829,27676.17414211697,720,DQN
69,-141467.14100443138,37064.88419053819,720,DQN
70,-232464.43019696762,55934.94456922743,720,DQN
71,-63952.18817976141,62832.1780843099,720,DQN
72,-12403.849210821065,55318.21376139323,720,DQN
73,-12778.220910125352,51541.13210991753,720,DQN
74,-13255.237124359259,47093.796405707464,720,DQN
75,-11010.554008275672,36787.22537163628,720,DQN
76,-12633.643841922642,28433.30280693902,720,DQN
77,-10052.464293481671,18159.354577975802,720,DQN
78,-93506.61920686126,10321.713362969293,720,DQN
79,-144197.4857220074,17957.8362379286,720,DQN
80,-90902.83987902055,26813.538018798827,720,DQN
81,-8337.178094551884,32665.28719753689,720,DQN
82,-12137.560665558698,30169.00991007487,720,DQN
83,-22217.288952072304,29020.678730604384,720,DQN
84,-189268.98805596057,38952.89530029297,720,DQN
85,-75324.11623434434,44594.509368218314,720,DQN
86,-23830.051949257366,39095.76386447483,720,DQN
87,-10400.641018306053,28871.672199164495,720,DQN
88,-13044.37618772761,23373.572209676106,720,DQN
89,-169754.33487340595,27838.62600097656,720,DQN
90,-142227.3399349677,39202.01586507161,720,DQN
91,-120127.04778206277,43122.60610080295,720,DQN
92,-8920.609632635966,42561.69397854275,720,DQN
93,-10139.88134069913,34073.3263821072,720,DQN
94,-12448.359325936957,31608.300638834637,720,DQN
95,-198296.1770946013,39655.576703559025,720,DQN
96,-11413.671665529875,40987.75787082248,720,DQN
97,-10346.73671337492,31027.093771701388,720,DQN
98,-10072.56447181969,23089.090545654297,720,DQN
99,-12482.041513692953,17038.145417616102,720,DQN
